Campaign Type,Placement,Device,Spend,Impressions,Views,Clicks,Conversions,Ad Type,date
Retargeting,GDN,Mobile,83.85,1677,85,8,15.0,Infographic,2024-02-11
CRM,Facebook News Feed,Desktop,73.65,1620,586,41,31.0,Infographic,2024-02-11
Retargeting,GDN,Mobile,95.93,1918,778,77,46.0,Product,2024-02-11
Prospecting,Facebook Audience Network,Mobile,97.81,2445,190,9,15.0,Infographic,2024-02-11
Prospecting,Instagram,Mobile,77.75,1943,251,12,15.0,Infographic,2024-02-11
Retargeting,Instagram,Mobile,80.65,1612,67,6,15.0,Infographic,2024-02-11
CRM,Instagram,Mobile,56.97,1253,145,10,15.0,Lifestyle,2024-02-11
CRM,Instagram,Desktop,50.32,1107,254,17,15.0,Lifestyle,2024-02-11
Retargeting,Facebook News Feed,Desktop,88.69,1773,130,13,15.0,Product,2024-02-11
Retargeting,Facebook News Feed,Mobile,104.02,2080,838,83,61.0,Product,2024-02-11
Retargeting,Facebook Audience Network,Mobile,110.23,2204,958,95,77.0,Product,2024-02-11
Retargeting,Facebook Audience Network,Desktop,68.2,1363,376,37,15.0,Infographic,2024-02-11
Retargeting,Facebook Audience Network,Desktop,99.65,1993,531,53,46.0,Infographic,2024-02-11
Prospecting,Facebook Audience Network,Desktop,71.2,1780,198,9,15.0,Infographic,2024-02-11
Prospecting,GDN,Desktop,70.27,1756,838,41,31.0,Product,2024-02-11
Retargeting,Facebook Audience Network,Mobile,102.65,2053,220,22,15.0,Product,2024-02-11
Retargeting,Instagram,Desktop,88.99,1779,409,40,31.0,Lifestyle,2024-02-11
CRM,Instagram,Desktop,73.82,1624,642,44,15.0,Infographic,2024-02-10
Retargeting,Instagram,Mobile,123.76,2475,1194,119,46.0,Infographic,2024-02-10
Retargeting,GDN,Desktop,123.64,2472,1168,116,77.0,Lifestyle,2024-02-10
Retargeting,Facebook Audience Network,Desktop,90.1,1802,487,48,46.0,Product,2024-02-10
CRM,Instagram,Desktop,50.38,1108,353,24,15.0,Product,2024-02-10
Retargeting,Instagram,Desktop,101.64,2032,180,18,15.0,Product,2024-02-10
Prospecting,Instagram,Desktop,77.74,1943,947,47,31.0,Infographic,2024-02-10
Prospecting,Instagram,Mobile,70.87,1771,160,8,15.0,Lifestyle,2024-02-10
Retargeting,Facebook News Feed,Mobile,76.49,1529,463,46,31.0,Lifestyle,2024-02-10
Prospecting,Facebook Audience Network,Mobile,79.38,1984,59,2,15.0,Product,2024-02-10
Retargeting,Facebook Audience Network,Mobile,91.92,1838,214,21,15.0,Infographic,2024-02-10
Prospecting,GDN,Mobile,90.33,2258,579,28,31.0,Lifestyle,2024-02-10
Prospecting,Facebook News Feed,Desktop,89.98,2249,487,24,31.0,Infographic,2024-02-10
Prospecting,GDN,Desktop,96.51,2412,224,11,15.0,Product,2024-02-10
Retargeting,Instagram,Desktop,74.81,1496,391,39,31.0,Product,2024-02-10
CRM,GDN,Desktop,64.01,1408,160,11,15.0,Lifestyle,2024-02-10
Retargeting,Instagram,Desktop,85.45,1709,760,76,61.0,Product,2024-02-10
Retargeting,Instagram,Desktop,75.59,1511,454,45,31.0,Lifestyle,2024-02-10
Retargeting,Facebook Audience Network,Desktop,91.43,1828,110,11,15.0,Product,2024-02-10
Prospecting,Facebook Audience Network,Desktop,96.03,2400,1082,54,31.0,Lifestyle,2024-02-10
Prospecting,Facebook Audience Network,Desktop,74.42,1860,544,27,31.0,Product,2024-02-10
Retargeting,Facebook Audience Network,Desktop,131.31,2626,28,2,15.0,Product,2024-02-10
Prospecting,Facebook Audience Network,Desktop,88.23,2205,766,38,15.0,Infographic,2024-02-10
Retargeting,Facebook News Feed,Desktop,92.12,1842,184,18,15.0,Infographic,2024-02-10
Prospecting,Facebook Audience Network,Desktop,97.4,2435,356,17,15.0,Product,2024-02-10
Retargeting,GDN,Mobile,108.91,2178,491,49,31.0,Lifestyle,2024-02-10
Prospecting,Instagram,Desktop,66.01,1650,732,36,31.0,Product,2024-02-10
Retargeting,Facebook Audience Network,Mobile,137.18,2743,577,57,46.0,Infographic,2024-02-10
CRM,Facebook News Feed,Desktop,62.59,1377,113,7,15.0,Lifestyle,2024-02-10
Retargeting,GDN,Desktop,100.38,2007,377,37,31.0,Product,2024-02-10
Retargeting,GDN,Desktop,82.89,1657,776,77,31.0,Product,2024-02-10
Retargeting,Instagram,Mobile,123.59,2471,96,9,15.0,Infographic,2024-02-10
CRM,GDN,Mobile,65.17,1433,123,8,15.0,Lifestyle,2024-02-10
CRM,GDN,Desktop,66.29,1458,155,10,15.0,Lifestyle,2024-02-10
Retargeting,GDN,Desktop,89.85,1796,109,10,15.0,Lifestyle,2024-02-10
Prospecting,GDN,Desktop,92.51,2312,52,2,15.0,Product,2024-02-10
CRM,Facebook News Feed,Desktop,69.12,1520,173,12,15.0,Infographic,2024-02-10
Prospecting,Instagram,Mobile,69.97,1749,678,33,15.0,Product,2024-02-10
Prospecting,Facebook Audience Network,Mobile,58.75,1468,587,29,15.0,Infographic,2024-02-10
Retargeting,GDN,Desktop,111.63,2232,725,72,46.0,Infographic,2024-02-10
Retargeting,Facebook News Feed,Mobile,68.53,1370,389,38,31.0,Lifestyle,2024-02-10
CRM,Instagram,Mobile,61.52,1353,44,3,15.0,Product,2024-02-10
CRM,Facebook Audience Network,Desktop,55.53,1221,116,8,15.0,Lifestyle,2024-02-10
Prospecting,Instagram,Desktop,98.28,2456,121,6,15.0,Infographic,2024-02-10
Retargeting,Facebook News Feed,Desktop,92.14,1842,481,48,31.0,Infographic,2024-02-10
Retargeting,Facebook News Feed,Mobile,122.15,2442,1193,119,61.0,Lifestyle,2024-02-10
Prospecting,Facebook News Feed,Desktop,72.29,1807,677,33,15.0,Lifestyle,2024-02-10
CRM,GDN,Mobile,70.0,1539,399,27,15.0,Infographic,2024-02-10
CRM,Facebook News Feed,Desktop,80.6,1773,841,58,46.0,Product,2024-02-10
Prospecting,Facebook Audience Network,Desktop,63.98,1599,660,33,31.0,Lifestyle,2024-02-10
Prospecting,GDN,Mobile,84.38,2109,499,24,15.0,Product,2024-02-09
Retargeting,Instagram,Mobile,154.98,3099,73,7,15.0,Infographic,2024-02-09
Retargeting,Facebook Audience Network,Mobile,101.33,2026,970,97,46.0,Lifestyle,2024-02-09
CRM,GDN,Mobile,60.62,1333,148,10,15.0,Lifestyle,2024-02-09
Prospecting,Facebook News Feed,Mobile,91.83,2295,891,44,15.0,Infographic,2024-02-09
Retargeting,Instagram,Mobile,100.82,2016,60,6,15.0,Lifestyle,2024-02-09
Retargeting,Facebook News Feed,Desktop,65.86,1317,53,5,15.0,Lifestyle,2024-02-09
Prospecting,Facebook Audience Network,Mobile,96.98,2424,472,23,15.0,Product,2024-02-09
Retargeting,Facebook Audience Network,Mobile,59.94,1198,315,31,15.0,Lifestyle,2024-02-09
Retargeting,GDN,Desktop,91.66,1833,169,16,15.0,Product,2024-02-09
Prospecting,Facebook Audience Network,Mobile,98.11,2452,700,35,15.0,Lifestyle,2024-02-09
Prospecting,Instagram,Mobile,74.65,1866,31,1,15.0,Lifestyle,2024-02-09
Prospecting,GDN,Desktop,69.59,1739,52,2,15.0,Infographic,2024-02-09
Retargeting,Instagram,Desktop,117.59,2351,939,93,61.0,Infographic,2024-02-09
Prospecting,Facebook News Feed,Desktop,67.23,1680,138,6,15.0,Lifestyle,2024-02-09
Retargeting,Instagram,Mobile,75.56,1511,373,37,31.0,Product,2024-02-09
Retargeting,Instagram,Desktop,105.49,2109,89,8,15.0,Infographic,2024-02-09
Prospecting,Facebook Audience Network,Mobile,77.26,1931,827,41,31.0,Infographic,2024-02-09
Prospecting,Facebook News Feed,Desktop,61.34,1533,35,1,15.0,Infographic,2024-02-09
CRM,Facebook Audience Network,Mobile,66.37,1460,224,15,15.0,Lifestyle,2024-02-09
Prospecting,Facebook News Feed,Desktop,86.97,2174,553,27,15.0,Product,2024-02-09
Prospecting,Facebook News Feed,Desktop,74.6,1865,739,36,31.0,Product,2024-02-09
Retargeting,Instagram,Desktop,94.17,1883,268,26,31.0,Lifestyle,2024-02-09
Retargeting,Facebook Audience Network,Mobile,109.41,2188,909,90,61.0,Infographic,2024-02-09
Retargeting,Instagram,Mobile,123.81,2476,185,18,15.0,Product,2024-02-09
Retargeting,Instagram,Desktop,94.34,1886,370,37,31.0,Product,2024-02-09
CRM,Instagram,Desktop,66.55,1464,234,16,15.0,Lifestyle,2024-02-09
Retargeting,Facebook News Feed,Desktop,111.3,2226,423,42,31.0,Product,2024-02-09
CRM,Facebook Audience Network,Desktop,68.79,1513,388,27,15.0,Product,2024-02-09
Prospecting,Facebook Audience Network,Mobile,80.59,2014,925,46,31.0,Infographic,2024-02-09
Prospecting,Instagram,Desktop,66.32,1657,116,5,15.0,Infographic,2024-02-09
Prospecting,Facebook News Feed,Desktop,73.06,1826,465,23,31.0,Infographic,2024-02-09
Prospecting,Facebook Audience Network,Mobile,85.14,2128,868,43,46.0,Product,2024-02-09
Retargeting,GDN,Mobile,136.37,2727,1015,101,61.0,Infographic,2024-02-09
Retargeting,Facebook Audience Network,Desktop,90.32,1806,441,44,31.0,Lifestyle,2024-02-09
Prospecting,Instagram,Desktop,92.07,2301,38,1,15.0,Infographic,2024-02-09
Retargeting,GDN,Mobile,93.44,1868,907,90,61.0,Infographic,2024-02-09
Retargeting,Facebook News Feed,Mobile,102.21,2044,161,16,15.0,Product,2024-02-09
Prospecting,GDN,Desktop,102.73,2568,165,8,15.0,Infographic,2024-02-09
Retargeting,GDN,Mobile,115.29,2305,442,44,31.0,Lifestyle,2024-02-09
CRM,Instagram,Mobile,47.59,1046,330,23,31.0,Infographic,2024-02-09
CRM,Facebook Audience Network,Desktop,54.28,1194,334,23,15.0,Infographic,2024-02-09
CRM,Facebook News Feed,Desktop,72.56,1596,111,7,15.0,Lifestyle,2024-02-09
Retargeting,GDN,Mobile,102.84,2056,713,71,61.0,Lifestyle,2024-02-09
Retargeting,Instagram,Desktop,77.02,1540,138,13,15.0,Infographic,2024-02-09
CRM,Facebook Audience Network,Desktop,51.81,1139,165,11,15.0,Product,2024-02-09
Retargeting,GDN,Desktop,114.07,2281,768,76,46.0,Lifestyle,2024-02-09
CRM,Instagram,Desktop,69.94,1538,123,8,15.0,Lifestyle,2024-02-09
CRM,Instagram,Desktop,60.18,1323,549,38,31.0,Product,2024-02-09
CRM,Instagram,Mobile,84.75,1864,881,61,46.0,Lifestyle,2024-02-09
Retargeting,Facebook News Feed,Mobile,116.48,2329,760,76,46.0,Lifestyle,2024-02-08
Retargeting,Facebook Audience Network,Desktop,95.13,1902,748,74,61.0,Product,2024-02-08
CRM,GDN,Desktop,51.84,1140,97,6,15.0,Infographic,2024-02-08
Retargeting,Facebook Audience Network,Desktop,80.5,1610,59,5,15.0,Product,2024-02-08
Retargeting,Facebook Audience Network,Mobile,106.71,2134,1042,104,46.0,Infographic,2024-02-08
Prospecting,GDN,Mobile,72.67,1816,123,6,15.0,Lifestyle,2024-02-08
CRM,Facebook Audience Network,Mobile,76.74,1688,225,15,15.0,Lifestyle,2024-02-08
Prospecting,Facebook News Feed,Mobile,101.99,2549,611,30,15.0,Infographic,2024-02-08
Prospecting,GDN,Desktop,89.5,2237,323,16,15.0,Product,2024-02-08
Retargeting,GDN,Desktop,76.42,1528,16,1,15.0,Lifestyle,2024-02-08
Prospecting,Instagram,Mobile,69.92,1747,759,37,31.0,Product,2024-02-08
CRM,Facebook Audience Network,Mobile,72.56,1596,79,5,15.0,Infographic,2024-02-08
Retargeting,GDN,Desktop,88.74,1774,596,59,31.0,Infographic,2024-02-08
Prospecting,GDN,Desktop,96.83,2420,540,27,15.0,Infographic,2024-02-08
CRM,Facebook News Feed,Desktop,64.75,1424,645,45,31.0,Product,2024-02-08
Prospecting,Instagram,Desktop,80.78,2019,989,49,31.0,Product,2024-02-08
Prospecting,GDN,Desktop,69.46,1736,705,35,31.0,Infographic,2024-02-08
Prospecting,Facebook News Feed,Mobile,78.59,1964,630,31,31.0,Lifestyle,2024-02-08
Retargeting,GDN,Desktop,103.79,2075,878,87,46.0,Infographic,2024-02-08
Retargeting,GDN,Mobile,120.65,2413,190,19,15.0,Lifestyle,2024-02-08
CRM,GDN,Mobile,51.14,1125,490,34,31.0,Lifestyle,2024-02-08
CRM,Facebook News Feed,Desktop,57.37,1262,404,28,15.0,Lifestyle,2024-02-08
CRM,Facebook Audience Network,Mobile,60.45,1329,271,18,15.0,Product,2024-02-08
CRM,GDN,Mobile,66.63,1465,643,45,31.0,Lifestyle,2024-02-08
Prospecting,GDN,Desktop,66.37,1659,429,21,15.0,Lifestyle,2024-02-08
Prospecting,Facebook Audience Network,Mobile,60.25,1506,519,25,31.0,Infographic,2024-02-08
Prospecting,GDN,Desktop,90.11,2252,892,44,31.0,Lifestyle,2024-02-08
Prospecting,Instagram,Desktop,57.23,1430,383,19,15.0,Lifestyle,2024-02-08
Prospecting,GDN,Mobile,99.27,2481,820,41,31.0,Infographic,2024-02-08
Prospecting,Instagram,Desktop,77.66,1941,886,44,31.0,Product,2024-02-08
CRM,Facebook Audience Network,Desktop,44.52,979,191,13,15.0,Lifestyle,2024-02-08
Retargeting,Facebook News Feed,Mobile,90.39,1807,602,60,46.0,Product,2024-02-08
Retargeting,Facebook Audience Network,Desktop,107.58,2151,434,43,31.0,Infographic,2024-02-08
Retargeting,GDN,Mobile,89.35,1786,760,76,31.0,Product,2024-02-08
Prospecting,Instagram,Mobile,80.3,2007,995,49,46.0,Lifestyle,2024-02-08
Retargeting,Facebook News Feed,Desktop,114.8,2296,62,6,15.0,Product,2024-02-08
Retargeting,GDN,Mobile,95.96,1919,215,21,15.0,Product,2024-02-08
Prospecting,Facebook News Feed,Desktop,65.94,1648,133,6,15.0,Infographic,2024-02-08
Retargeting,Facebook News Feed,Mobile,94.02,1880,618,61,31.0,Infographic,2024-02-08
Prospecting,GDN,Desktop,101.22,2530,1184,59,31.0,Infographic,2024-02-08
Retargeting,Facebook Audience Network,Desktop,133.7,2674,1281,128,46.0,Infographic,2024-02-08
Retargeting,GDN,Mobile,59.6,1192,424,42,15.0,Infographic,2024-02-08
CRM,GDN,Mobile,70.91,1560,527,36,15.0,Infographic,2024-02-08
Retargeting,Facebook Audience Network,Desktop,105.0,2100,357,35,31.0,Infographic,2024-02-08
Retargeting,Instagram,Desktop,118.48,2369,1032,103,92.0,Infographic,2024-02-08
Prospecting,GDN,Mobile,71.74,1793,196,9,15.0,Product,2024-02-08
Prospecting,Facebook News Feed,Desktop,53.48,1336,116,5,15.0,Infographic,2024-02-08
Retargeting,GDN,Desktop,111.69,2233,1033,103,77.0,Product,2024-02-08
Prospecting,GDN,Mobile,65.89,1647,518,25,15.0,Lifestyle,2024-02-08
Retargeting,Facebook News Feed,Mobile,72.23,1444,348,34,31.0,Infographic,2024-02-08
Retargeting,Facebook Audience Network,Desktop,73.63,1472,705,70,31.0,Lifestyle,2024-02-07
Prospecting,Instagram,Mobile,89.01,2225,574,28,15.0,Infographic,2024-02-07
Prospecting,Instagram,Mobile,82.09,2052,327,16,15.0,Lifestyle,2024-02-07
Prospecting,Facebook News Feed,Desktop,91.74,2293,511,25,15.0,Product,2024-02-07
Prospecting,Facebook Audience Network,Mobile,90.04,2250,930,46,31.0,Infographic,2024-02-07
CRM,GDN,Mobile,55.79,1227,129,9,15.0,Product,2024-02-07
Prospecting,GDN,Desktop,78.94,1973,936,46,31.0,Lifestyle,2024-02-07
Retargeting,GDN,Mobile,89.77,1795,586,58,46.0,Product,2024-02-07
Prospecting,GDN,Desktop,76.85,1921,483,24,31.0,Infographic,2024-02-07
Retargeting,GDN,Mobile,80.65,1613,357,35,31.0,Product,2024-02-07
Retargeting,Facebook News Feed,Mobile,107.81,2156,384,38,31.0,Product,2024-02-07
Retargeting,GDN,Desktop,121.5,2430,253,25,31.0,Lifestyle,2024-02-07
Retargeting,GDN,Mobile,83.67,1673,834,83,31.0,Lifestyle,2024-02-07
